Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
33. AG, Dog Bark, contemplative	Sam’s iPhone		Voice Memos						Voice Memo	361512	44						4/24/21, 2:52 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			1	4/18/21, 9:52 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/33. AG, Dog Bark, contemplative.m4a
34. EGA, LP-3, Dis-Dir, Percussion, major	Sam’s iPhone		Voice Memos						Voice Memo	132972	16						4/24/21, 2:52 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 2:52 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/34. EGA, LP-3, Dis-Dir, Percussion, major.m4a
35. EGA, LP-2, Dir-Ec-Ch, requesting/underwater	Sam’s iPhone		Voice Memos						Voice Memo	231918	28						4/24/21, 2:53 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 2:53 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/35. EGA, LP-2, Dir-Ec-Ch, requesting_underwater.m4a
36. EGA, LP-4, Dis-Wa-Ch-Ec, weird blues	Sam’s iPhone		Voice Memos						Voice Memo	327068	40						4/24/21, 2:53 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 2:53 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/36. EGA, LP-4, Dis-Wa-Ch-Ec, weird blues.m4a
37. AG, major	Sam’s iPhone		Voice Memos						Voice Memo	275483	34						4/24/21, 2:53 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:03 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/37. AG, major.m4a
38. AG, major	Sam’s iPhone		Voice Memos						Voice Memo	173940	21						4/24/21, 2:54 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			1	4/18/21, 10:02 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/38. AG, major.m4a
39. EGA, LP-3-Rev, Dis-Wa, Percussion, battle	Sam’s iPhone		Voice Memos						Voice Memo	362315	44						4/24/21, 2:54 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/18/21, 10:07 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/39. EGA, LP-3-Rev, Dis-Wa, Percussion, battle.m4a
40. EGA, LP-3, bittersweet	Sam’s iPhone		Voice Memos						Voice Memo	152336	18						4/24/21, 2:54 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 2:54 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/40. EGA, LP-3, bittersweet.m4a
41. EGA, LP-4-Rev, Dis, dread	Sam’s iPhone		Voice Memos						Voice Memo	193497	23						4/24/21, 2:55 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 2:55 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/41. EGA, LP-4-Rev, Dis, dread.m4a
42. EGA, LP-2, Dis-Wa, major/go-lucky	Sam’s iPhone		Voice Memos						Voice Memo	244201	30						4/24/21, 2:55 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 2:55 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/42. EGA, LP-2, Dis-Wa, major_go-lucky.m4a
43. EGA, LP-2, Dis, jazzy/cool	Sam’s iPhone		Voice Memos						Voice Memo	172272	21						4/24/21, 2:55 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 2:55 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/43. EGA, LP-2, Dis, jazzy_cool.m4a
44. AG, contemplative	Sam’s iPhone		Voice Memos						Voice Memo	204340	25						4/24/21, 2:55 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 2:56 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/44. AG, contemplative.m4a
45. EGA, LP-2, Percussion, minor/questioning	Sam’s iPhone		Voice Memos						Voice Memo	291150	35						4/24/21, 2:56 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 2:56 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/45. EGA, LP-2, Percussion, minor_questioning.m4a
46. EGA, Dis-Wa-Ec, minor/questioning	Sam’s iPhone		Voice Memos						Voice Memo	213485	26						4/24/21, 2:57 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 2:57 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/46. EGA, Dis-Wa-Ec, minor_questioning.m4a
47. EGA, LP-3-Rev, Dis, major/intro-outro	Sam’s iPhone		Voice Memos						Voice Memo	345767	42						4/24/21, 2:57 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			14	4/24/21, 2:58 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/47. EGA, LP-3-Rev, Dis, major_intro-outro.m4a
48. Bass	Sam’s iPhone		Voice Memos						Voice Memo	161498	19						4/24/21, 2:58 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 2:58 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/48. Bass.m4a
49. Mouth sound beatbox	Sam’s iPhone		Voice Memos						Voice Memo	82870	9						4/24/21, 2:58 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/18/21, 10:21 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/49. Mouth sound beatbox.m4a
50. Mouth sound	Sam’s iPhone		Voice Memos						Voice Memo	46729	5						4/24/21, 2:58 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 2:59 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/50. Mouth sound.m4a
51. EGA, LP-4, Dis-Ch, bittersweet	Sam’s iPhone		Voice Memos						Voice Memo	76449	9						4/24/21, 3:00 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:00 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/51. EGA, LP-4, Dis-Ch, bittersweet.m4a
52. EGA, Dir, minor/metal	Sam’s iPhone		Voice Memos						Voice Memo	85808	10						4/24/21, 3:00 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			9	4/24/21, 3:00 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/52. EGA, Dir, minor_metal.m4a
53. EGA, LP-3, Dis, contemplative/early morning	Sam’s iPhone		Voice Memos						Voice Memo	305083	37						4/24/21, 3:01 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:00 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/53. EGA, LP-3, Dis, contemplative_early morning.m4a
54. Beatbox	Sam’s iPhone		Voice Memos						Voice Memo	131006	15						4/24/21, 3:00 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/24/21, 3:00 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/54. Beatbox.m4a
55. AG, major/harmonics	Sam’s iPhone		Voice Memos						Voice Memo	211813	26						4/24/21, 3:01 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			3	4/24/21, 3:01 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/55. AG, major_harmonics.m4a
56. AG, fragile/dark	Sam’s iPhone		Voice Memos						Voice Memo	466618	57						4/24/21, 3:02 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/18/21, 10:31 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/56. AG, fragile_dark.m4a
57. EGA, LP-2, Dis, determined	Sam’s iPhone		Voice Memos						Voice Memo	161413	19						4/24/21, 3:02 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:02 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/57. EGA, LP-2, Dis, determined.m4a
58. AG, classical/major	Sam’s iPhone		Voice Memos						Voice Memo	210645	25						4/24/21, 3:02 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:02 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/58. AG, classical_major.m4a
59. AG, major/quick riff	Sam’s iPhone		Voice Memos						Voice Memo	96673	11						4/24/21, 3:03 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			5	4/24/21, 3:03 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/59. AG, major_quick riff.m4a
60. AG, major, hammer on/pull off	Sam’s iPhone		Voice Memos						Voice Memo	168971	20						4/24/21, 3:03 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			2	4/24/21, 3:03 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/60. AG, major, hammer on_pull off.m4a
61. AG, minor/halloween	Sam’s iPhone		Voice Memos						Voice Memo	122353	14						4/24/21, 3:04 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/24/21, 3:04 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/61. AG, minor_halloween.m4a
